Program,Program Type/Target,Level of Government,Application Method,Corroborated,Eligibility Category,Other Eligibility Requirements:
Canada Child Benefit,Children and Family,Federal,Tax filling,,Dependent child(ren),
Child Disability Benefit,Children and Family,Federal,Tax filling,,Dependent child(ren) AND Disability,
Affordable Child Care Benefit,Children and Family,Provincial,Self-initiated,,Dependent child(ren),"Child in childcare because individual/family is searching for work, is attending school, is employed, or has a medical condition that interferes with their ability to care for their child"
Automatic Child Benefits Top-Up Supplement,Children and Family,Provincial,Automatic with other application,,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)","Family unit's  child benefit payment is less than $197.95/month for 1 child, $173.13/month for the second child, and $166.64/month for each additional child"
BC Child Opportunity Benefit,Children and Family,Provincial,Tax filling,,Dependent child(ren),
BC Early Childhood Tax Benefit,Children and Family,Provincial,Tax filling,,Dependent child(ren),Dependent child must be under 6 years old.
Camp Fees Supplement,Children and Family,Provincial,Self-initiated,,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)",Attendance at a recognized camp
Child Care Operating Funding (CCOF),Children and Family,Provincial,Third-party,,Other,Licensed child care provider
Childcare Fee Reduction Initiative (to daycares),Children and Family,Provincial,Third-party,,Other,Licensed child care provider
Crisis Supplement,Financial Supports: Non-Work,Provincial,Self-initiated,,"IA, DA and/or HA supplement (Low Income)","Unexpected expense and the failure to meet it will result in imminent danger to the physical health of any person in the family unit or removal of a child under the Child, Family and Community Service Act"
Family Maintenance Services,Children and Family,Provincial,Self-initiated,,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)",
"Moving, Transportation and Living Costs (for child protection hearing)",Children and Family,Provincial,Self-initiated,,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)",recipient is a party in a child protection proceeding
Nutritional Supplement: infant formula,Children and Family,Provincial,Self-initiated,Corroborated,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)",Child has a medical condition that requires specialized formula to treat OR child is at risk of contracting a disease through breast feeding
School Start-up Supplement,Children and Family,Provincial,Automatic with other application,,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)",
Temporary Child Benefits Top-Up Supplement,Children and Family,Provincial,Automatic with other application,,Dependent child(ren),Refugee Claimants and clients in Canada under a Temporary Resident Permit that do not meet the 18-month residency requirement for CCB as required by the Canada Revenue Agency (CRA)
Temporary Child Benefits Top-Up Supplement,Children and Family,Provincial,Automatic with other application,,Dependent child(ren),Refugee Claimants and clients in Canada under a Temporary Resident Permit that do not meet the 18-month residency requirement for CCB as required by the Canada Revenue Agency (CRA)
Education and Training Benefit,"Education, Training, and Employment",Federal,Self-initiated,,Veteran or Canadian Armed Forces,
Aboriginal Leadership Opportunities Year,"Education, Training, and Employment",Federal,Self-initiated,,First nations/aboriginal/inuit,
Apprenticeship Completion Grant (ACG),"Education, Training, and Employment",Federal,Self-initiated,,Other,Completion of journeyman certification
Apprenticeship Incentive Grant (AIG),"Education, Training, and Employment",Federal,Self-initiated,,Other,Enrolled in apprenticeship program
Apprenticeship Incentive Grant for Women,"Education, Training, and Employment",Federal,Self-initiated,,Other,Women AND Enrolled in apprenticeship program
Canada Education Savings Grant ,"Education, Training, and Employment",Federal,Automatic with other application,,Dependent child(ren),
