Program,Program Type/Target,Level of Government,Category,Cash to In-Kind Spectrum,Importance Ranking
Canada Child Benefit,Children and Family,Federal,Income Support,Pure Cash Transfer,2
Child Disability Benefit,Children and Family,Federal,Income Support,Pure Cash Transfer,1
Affordable Child Care Benefit,Children and Family,Provincial,Income Support,Pure In-Kind,1
Automatic Child Benefits Top-Up Supplement,Children and Family,Provincial,Income Support,Pure Cash Transfer,1
BC Child Opportunity Benefit,Children and Family,Provincial,Income Support,Pure Cash Transfer,2
BC Early Childhood Tax Benefit,Children and Family,Provincial,Income Support,Pure Cash Transfer,1
Camp Fees Supplement,Children and Family,Provincial,Income Support,Pure In-Kind OR Bill Refund,1
Child Care Operating Funding (CCOF),Children and Family,Provincial,Market Supports,,1
Childcare Fee Reduction Initiative (to daycares),Children and Family,Provincial,Income Support,Pure In-Kind,1
Crisis Supplement,Financial Supports: Non-Work,Provincial,Income Support,Pure Cash Transfer,1
Family Maintenance Services,Children and Family,Provincial,Income Support,Pure In-Kind,1
"Moving, Transportation and Living Costs (for child protection hearing)",Children and Family,Provincial,Income Support,Cash Geared to Cost,1
Nutritional Supplement: infant formula,Children and Family,Provincial,Income Support,Pure In-Kind,1
School Start-up Supplement,Children and Family,Provincial,Income Support,Pure Cash Transfer,1
Temporary Child Benefits Top-Up Supplement,Children and Family,Provincial,Income Support,Pure Cash Transfer,1
Temporary Child Benefits Top-Up Supplement,Children and Family,Provincial,Income Support,Pure Cash Transfer,1
Education and Training Benefit,"Education, Training, and Employment",Federal,Income Support,Cash Geared to Cost,1
Aboriginal Leadership Opportunities Year,"Education, Training, and Employment",Federal,Income Support,Pure In-Kind,1
Apprenticeship Completion Grant (ACG),"Education, Training, and Employment",Federal,Income Support,Pure Cash Transfer,1
Apprenticeship Incentive Grant (AIG),"Education, Training, and Employment",Federal,Income Support,Pure Cash Transfer,1
Apprenticeship Incentive Grant for Women,"Education, Training, and Employment",Federal,Income Support,Pure Cash Transfer,1
Canada Education Savings Grant ,"Education, Training, and Employment",Federal,Income Support,Pure Cash Transfer,1
Canada Education Savings Grant addition,"Education, Training, and Employment",Federal,Income Support,Pure Cash Transfer,1
Canada Learning Bond,"Education, Training, and Employment",Federal,Income Support,Pure Cash Transfer,1
Canada Student Grants,"Education, Training, and Employment",Federal,Income Support,Cash Geared to Cost,1
Canada Student Loans,"Education, Training, and Employment",Federal,Income Support,Cash Geared to Cost,1
Canada Training Credit,"Education, Training, and Employment",Federal,Income Support,Pure In-Kind,1
First Nation & Inuit post-secondary student support program,"Education, Training, and Employment",Federal,Income Support,Cash Geared to Cost,1
Housing Internship for First Nation and Inuit Youth,"Education, Training, and Employment",Federal,Market Supports,,1
Skills Link,"Education, Training, and Employment",Federal,Income Support,Pure In-Kind,1
Western Canada Business Services Network,"Education, Training, and Employment",Federal,Market Supports,,1
Work Integrated Learning Opportunities/work placements,"Education, Training, and Employment",Federal,Market Supports,,1
Aboriginal Community-Based Training Partnerships Program,"Education, Training, and Employment",Provincial,Market Supports,,1
Aboriginal Emergency Assistance Fund (post-secondary),"Education, Training, and Employment",Provincial,Income Support,Pure Cash Transfer,1
Agreements with Young Adults,"Education, Training, and Employment",Provincial,Income Support,Cash Geared to Cost,1
BC access grant for students with permanent disabilities,"Education, Training, and Employment",Provincial,Income Support,Pure In-Kind,1
BC Education and Training Savings Grant ,"Education, Training, and Employment",Provincial,Income Support,Pure Cash Transfer,1
BC Employer Training Grant (WDA),"Education, Training, and Employment",Provincial,Market Supports,,1
Community Adult Literacy Program,"Education, Training, and Employment",Provincial,Income Support,Pure In-Kind,1
Community Workforce Response Grant (WDA),"Education, Training, and Employment",Provincial,Market Supports,,1
Indigenous Skills Training Development Fund,"Education, Training, and Employment",Provincial,Market Supports,,1
Sector Labour Market Partnership Program,"Education, Training, and Employment",Provincial,Market Supports,,1
Skills Training for Employment (WDA),"Education, Training, and Employment",Provincial,Income Support,Pure In-Kind,2
StudentAid BC,"Education, Training, and Employment",Provincial,Income Support,Cash Geared to Cost,2
Travel Supplement,"Education, Training, and Employment",Provincial,Income Support,Cash Geared to Cost,1
WorkBC  Employment Services (LMDA),"Education, Training, and Employment",Provincial,Income Support,Pure In-Kind,2
WorkBC Apprentice Services (LMDA),"Education, Training, and Employment",Provincial,Income Support,Cash Geared to Cost,1
WorkBC Assistive Technology Services (LMDA),"Education, Training, and Employment",Provincial,Income Support,Pure In-Kind,1
WorkBC Single Parent Employment Initiative (LMDA),"Education, Training, and Employment",Provincial,Income Support,Cash Geared to Cost,2
WorkBC Single Parent Employment Initiative (LMDA),"Education, Training, and Employment",Provincial,Income Support,Cash Geared to Cost,2
WorkBC: The Community and Employer Partnerships Program (LMDA),"Education, Training, and Employment",Provincial,Market Supports,,1
Provincial Tuition Waiver Program,"Education, Training, and Employment",Provincial,Income Support,Pure In-Kind,1
Youth Educational Assistance Fund for Former Youth in Care,"Education, Training, and Employment",Provincial,Income Support,Cash Geared to Cost,1
RESP,"Education, Training, and Employment",Voluntary Savings,Market Supports,,1
Federal Internship for Newcomers Program,"Education, Training, and Employment",Federal,Market Supports,,1
