Program,Program Type/Target,Level of Government,Application Method,Corroborated
Aboriginal Leadership Opportunities Year,"Education, Training, and Employment",Federal,Self-initiated,Not Corroborated
Allowance,Financial Supports: Non-Work,Federal,Self-initiated,Not Corroborated
Apprenticeship Grants,"Education, Training, and Employment",Federal,Self-initiated,Not Corroborated
Canada Child Benefit,Children and Family,Federal,Automatic with tax filing,Not Corroborated
Canada Education Savings,"Education, Training, and Employment",Federal,Automatic with other application,Not Corroborated
Canada Student Grants,"Education, Training, and Employment",Federal,Automatic with other application,Not Corroborated
Canada Student Loans,"Education, Training, and Employment",Federal,Self-initiated,Not Corroborated
Canada Training Credit,"Education, Training, and Employment",Federal,Automatic with tax filing,Not Corroborated
Canada Worker's Benefit ,Financial Supports: Work-Related,Federal,Automatic with tax filing,Not Corroborated
Canadian Benefit for Parents of Young Victims of Crime,Financial Supports: Work-Related,Federal,Self-initiated,Not Corroborated
Canadian Forces Disability Benefits,Financial Supports: Non-Work,Federal,Self-initiated,Not Corroborated
Canadian Forces Income Replacement Benefit,Financial Supports: Work-Related,Federal,Self-initiated,Not Corroborated
Canadian Forces Income Support,Financial Supports: Non-Work,Federal,Self-initiated,Not Corroborated
Child Disability Benefit,Children and Family,Federal,Automatic with tax filing,Not Corroborated
CPP: Children's Benefits,Financial Supports: Work-Related,Federal,Self-initiated,Not Corroborated
CPP: Death Benefit,Financial Supports: Work-Related,Federal,Self-initiated,Not Corroborated
CPP: Disability Benefit,Financial Supports: Work-Related,Federal,Self-initiated,Corroborated
CPP: Retirement Pension,Financial Supports: Work-Related,Federal,Self-initiated,Not Corroborated
CPP: Survivor's Pension,Financial Supports: Work-Related,Federal,Self-initiated,Not Corroborated
Disability Savings,Financial Supports: Non-Work,Federal,Automatic with other application,Not Corroborated
Disability Tax Credit,Financial Supports: Non-Work,Federal,Tax filing - additional form,Corroborated
Education and Training Benefit (Veterans),"Education, Training, and Employment",Federal,Self-initiated,Not Corroborated
EI: regular benefits,Financial Supports: Work-Related,Federal,Self-initiated,Not Corroborated
EI: caregiving benefits (adult and/or child(ren)),Financial Supports: Work-Related,Federal,Self-initiated,Corroborated
EI: family supplement,Financial Supports: Work-Related,Federal,Automatic with other application,Not Corroborated
EI: maternity and parental,Financial Supports: Work-Related,Federal,Self-initiated,Not Corroborated
EI: sickness,Financial Supports: Work-Related,Federal,Self-initiated,Corroborated
Excise Gasoline Tax Refund,Financial Supports: Non-Work,Federal,Self-initiated,Corroborated
Federal Internship for Newcomers Program,"Education, Training, and Employment",Federal,Self-initiated,Not Corroborated
First Nation & Inuit post-secondary student support program,"Education, Training, and Employment",Federal,Self-initiated,Not Corroborated
