Program,Program Type/Target,Level of Government,Category,Income or Asset Tested,Eligibility Category,Other Eligibility Requirements:,Program Overview,Website Link,Notes,Importance Ranking
Canada Child Benefit,Children and Family,Federal,Income Support,Income Tested,Dependent child(ren),,The Canada child benefit (CCB) is a tax-free monthly payment made to eligible families to help them with the cost of raising children under 18 years of age.,https://www.canada.ca/en/revenue-agency/services/child-family-benefits/canada-child-benefit-overview.html,,2
Child Disability Benefit,Children and Family,Federal,Income Support,Income Tested,Dependent child(ren) AND Disability,,The child disability benefit is a tax-free monthly payment made to families who care for a child under age 18 with a severe and prolonged impairment in physical or mental functions.,https://www.canada.ca/en/revenue-agency/services/child-family-benefits/child-disability-benefit.html,,1
Affordable Child Care Benefit,Children and Family,Provincial,Income Support,Income Tested,Dependent child(ren),"Child in childcare because individual/family is searching for work, is attending school, is employed, or has a medical condition that interferes with their ability to care for their child","The ACCB helps families with the cost of child care, depending on factors like family size, type of care and household income.",https://www2.gov.bc.ca/gov/content/family-social-supports/caring-for-young-children/child-care-funding/child-care-benefit,,1
Automatic Child Benefits Top-Up Supplement,Children and Family,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)","Family unit's  child benefit payment is less than $197.95/month for 1 child, $173.13/month for the second child, and $166.64/month for each additional child","The child benefits top-up supplement is a provincial government benefit, administered by the BC Employment and Assistance (BCEA) program, designed to support BCEA families with dependent children when a family unit’s CCB payment is less than the child benefits top-up supplement",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/child-benefits-top-up-supplement,,1
BC Child Opportunity Benefit,Children and Family,Provincial,Income Support,Income Tested,Dependent child(ren),,The B.C. Child Opportunity Benefit provides a tax-free monthly payment to families with children under the age of 18.,https://www2.gov.bc.ca/gov/content/family-social-supports/family-benefits/child-opportunity-benefit,Will be implemented in Oct. 2020,2
Camp Fees Supplement,Children and Family,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)",Attendance at a recognized camp,A supplement may be provided to fully or partially cover the cost of attendance at a recognized camp for children of income assistance and disability assistance recipients and adult recipients of disability assistance.,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/camp-fees-supplement,Subject to available funding,1
Childcare Fee Reduction Initiative,Children and Family,Provincial,Income Support,Neither,Other,Licensed child care provider,The purpose of the CCFRI is to help enhance childcare affordability through parent fee reduction funding and stabilized childcare fees.  Parents do not need to apply for the fee reduction. Child care providers need to apply in order to receive funding. Participation in CCFRI is voluntary.,https://www2.gov.bc.ca/gov/content/family-social-supports/caring-for-young-children/running-daycare-preschool/child-care-operating-funding/child-care-fee-reduction-initiative-provider-opt-in-status,,1
Crisis Supplement,Financial Supports: Non-Work,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)","Unexpected expense and the failure to meet it will result in imminent danger to the physical health of any person in the family unit or removal of a child under the Child, Family and Community Service Act","A crisis supplement may be available to provide recipients who face unexpected emergency needs with a one-time payment to prevent imminent danger to their physical health or the removal of a child under the Child, Family and Community Service Act.",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/crisis-supplement,,1
Family Maintenance Services,Children and Family,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)",,"Provides help  to clients with obtaining or defending a maintenance order or written agreement, the client may request family maintenance services and assign their maintenance rights to the ministry.",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/family-maintenance-services,,1
"Moving, Transportation and Living Costs (for child protection hearing)",Children and Family,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)",recipient is a party in a child protection proceeding,"To cover necessary moving, transportation, and living expenses including expenses related to attending child protection hearings and family maintenance services",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/moving-transportation-and-living-costs,,1
Nutritional Supplement: infant formula,Children and Family,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)",Child has a medical condition that requires specialized formula to treat OR child is at risk of contracting a disease through breast feeding,Regular infant formula may be provided to children during the first 12 months when there is a medically confirmed risk of disease transmittal from the mother's breast milk; and specialized infant formula may be provided to children who have a confirmed medical condition that requires the specialized formula.,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/nutritional-supplements,Until child is 12 months,1
School Start-up Supplement,Children and Family,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)",,To assist with extra costs associated with schooling for a person under 19 years of age,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/school-start-up-supplement,,1
Temporary Child Benefits Top-Up Supplement,Children and Family,Provincial,Income Support,Neither,Dependent child(ren),Refugee Claimants and clients in Canada under a Temporary Resident Permit that do not meet the 18-month residency requirement for CCB as required by the Canada Revenue Agency (CRA),This supplement is provided by SDPR in specific circumstances when families are temporarily without the federal Canada Child Benefit ,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/child-benefits-top-up-supplement,,1
Temporary Child Benefits Top-Up Supplement,Children and Family,Provincial,Income Support,Neither,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)",,This supplement is provided by SDPR in specific circumstances when families are temporarily without the federal Canada Child Benefit ,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/child-benefits-top-up-supplement,,1
Education and Training Benefit,"Education, Training, and Employment",Federal,Income Support,Neither,Veteran or Canadian Armed Forces,,Helps in financing veteran's education,https://www.veterans.gc.ca/eng/education-and-jobs/back-to-school/education-training-benefit,Amount payable based on years of service,1
Aboriginal Leadership Opportunities Year,"Education, Training, and Employment",Federal,Income Support,Neither,First nations/aboriginal/inuit,,"One-year program at RMC designed to provide students of Indigenous heritage with individual, group, and cultural experiences that will help build leadership and life skills.",https://forces.ca/en/programs-for-indigenous-peoples/#aloyt,,1
Apprenticeship Completion Grant (ACG),"Education, Training, and Employment",Federal,Income Support,Neither,Other,Completion of journeyman certification,Taxable cash grant for registered apprentices who successfully complete their program,https://www.canada.ca/en/employment-social-development/services/funding/apprenticeship-completion-overview.html,,1
Apprenticeship Incentive Grant (AIG),"Education, Training, and Employment",Federal,Income Support,Neither,Other,Enrolled in apprenticeship program,The Apprenticeship Incentive Grant (AIG) helps you pay for expenses while you train as an apprentice in a designated Red Seal trade.,https://www.canada.ca/en/employment-social-development/services/funding/apprenticeship-incentive-overview.html,,1
Apprenticeship Incentive Grant for Women,"Education, Training, and Employment",Federal,Income Support,Neither,Other,Women AND Enrolled in apprenticeship program,The Apprenticeship Incentive Grant for Women (AIG-W) helps you pay for expenses while you train as an apprentice in a Designated Red Seal Trade where women are underrepresented.,https://www.canada.ca/en/employment-social-development/services/funding/apprenticeship-incentive-women-overview.html,,1
Canada Education Savings Grant ,"Education, Training, and Employment",Federal,Income Support,Neither,Dependent child(ren),,The Canada Education Savings Grant (CESG) is money that the Government adds to a Registered Education Savings Plan (RESP). This money helps to pay the costs of a child’s full- or part-time studies after high school ,https://www.canada.ca/en/services/benefits/education/education-savings/savings-grant.html,RESP matching grant,1
