Level of Government,Responsible Ministry:,Administered By:,Program,Show Name,Number of Recipients (BC only),$ amount of benefits (BC only)
Government of British Columbia,"Advanced Education, Skills & Training","Advanced Education, Skills & Training",ACBTP,FALSE,,
Government of British Columbia,"Advanced Education, Skills & Training",Post-secondary,AEAF,FALSE,,
Government of British Columbia,Children & Family Development,Children & Family Development,ACCB,TRUE,33566,234400000
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Affordable Rental Housing,TRUE,42190,126277000
Government of British Columbia,Children & Family Development,Children & Family Development,AYA,FALSE,301,3458058
Government of British Columbia,"Advanced Education, Skills & Training",StudentAid BC,Access Grant,FALSE,,
Government of British Columbia,Transportation & Infastructure,BC Buss Pass Program,Senior Bus Pass,TRUE,58581,24000000
Government of British Columbia,Finance,Canada Revenue Agency,Child Opportunity,TRUE,,
Government of British Columbia,Finance,Canada Revenue Agency,Climate Action Credit,TRUE,,195000000
Government of British Columbia,Education,Education,Education Savings Grant,FALSE,,
Government of British Columbia,Health,Farmer's Market,Nutrition Program,FALSE,,
Government of British Columbia,Finance,Canada Revenue Agency,Home Renovation,FALSE,,212861.244
Government of British Columbia,"Energy, Mines, & Petroleum Resources",BC Hydro,Crisis Fund,TRUE,2282,847518
Government of British Columbia,Finance,Canada Revenue Agency,Sales Tax Credit,TRUE,,45219976.78
Government of British Columbia,Finance,Canada Revenue Agency,Tax Reduction Credit,TRUE,,152381620.1
Government of British Columbia,"Advanced Education, Skills & Training",Douglas College,Career Paths,FALSE,,
Government of British Columbia,Children & Family Development,Children & Family Development,CCOF,FALSE,115918,118800000
Government of British Columbia,Children & Family Development,Children & Family Development,CCFRI,FALSE,56210,97100000
Government of British Columbia,"Advanced Education, Skills & Training",Service provider,Adult Literacy,FALSE,4151,2400000
Government of British Columbia,Education,Service provider,CommunityLink & VSS,FALSE,,
Government of British Columbia,Public Safety & Solicitor General,VictimLinkBC,CVAP,FALSE,,
Government of British Columbia,Social Development & Poverty Reduction,Social Development & Poverty Reduction,Disability Assistance,TRUE,104912,991501820.1
Government of British Columbia,"Energy, Mines, & Petroleum Resources",BC Hydro,ECAP,FALSE,,
Government of British Columbia,Health,BC Pharmacare,Fair Pharmacare,TRUE,,
Government of British Columbia,Finance,Finance,Fuel Tax Refund PWD,FALSE,,
Government of British Columbia,Social Development & Poverty Reduction,Social Development & Poverty Reduction,General Supplements,TRUE,,
Government of British Columbia,Social Development & Poverty Reduction,Social Development & Poverty Reduction,Hardship Assistance,TRUE,,
Government of British Columbia,Social Development & Poverty Reduction,Social Development & Poverty Reduction,Health Supp.,TRUE,,
Government of British Columbia,Social Development & Poverty Reduction,Pacific Blue Cross,Healthy Kids,TRUE,,13700000
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Home Adaptions,FALSE,650,10000000
Government of British Columbia,Finance,Municipality,HOG,TRUE,1318530,817232700
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Homeless Rent Supp.,FALSE,3832,33764000
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Shelters,TRUE,5142,115957000
Government of British Columbia,Social Development & Poverty Reduction,Social Development & Poverty Reduction,Income Assistance,TRUE,42734,347346697.8
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Independent Living Disability,FALSE,6101,39619000
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Independent Living Senior,FALSE,4094,26287000
Government of British Columbia,"Advanced Education, Skills & Training",WorkBC,ISTDF,FALSE,,
Government of British Columbia,Social Development & Poverty Reduction,WorkBC,LMDA,TRUE,,
Government of British Columbia,Attorney General,Service provider,Legal Aid,FALSE,,
Government of British Columbia,Health,Health Insurance BC,MSP,TRUE,,
Government of British Columbia,Finance,Finance,SPTD,FALSE,54431,218824963
Government of British Columbia,"Advanced Education, Skills & Training",StudentAid BC,Tuition Waiver,FALSE,806,3600000
Government of British Columbia,Municipal Affairs & Housing,BC Housing,RAP,TRUE,10861,64312000
Government of British Columbia,"Advanced Education, Skills & Training",WorkBC,Senior LMP,FALSE,,
Government of British Columbia,Social Development & Poverty Reduction,Canada Revenue Agency,Seniors Supplement,FALSE,56021,26000000
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Seniors' Supportive Housing,FALSE,6452,12777000
Government of British Columbia,Municipal Affairs & Housing,BC Housing,SAFER,TRUE,25363,76692000
Government of British Columbia,"Advanced Education, Skills & Training",StudentAid BC,StudentAid,TRUE,,
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Subsidized Rental,TRUE,276,998000
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Supportive Housing,FALSE,11621,166704000
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Transition Houses,FALSE,863,84700000
Government of British Columbia,Public Safety & Solicitor General,VictimLinkBC,Victim Travel Fund,FALSE,,
Government of British Columbia,"Advanced Education, Skills & Training",WorkBC,WDA,TRUE,,
Government of British Columbia,Labour,WorkSafeBC,Health Care Benefits,FALSE,52422,55366907
Government of British Columbia,Labour,WorkSafeBC,Perm Disability Benefit,TRUE,5461,616664347
Government of British Columbia,Labour,WorkSafeBC,Wage Loss Benefits,TRUE,48771,447039069
Government of British Columbia,"Advanced Education, Skills & Training",StudentAid BC,YEAF,FALSE,,
Government of Canada,Royal Military College,Royal Military College,ALOY,FALSE,,
Government of Canada,Employment & Social Development,Service Canada,Survivor Allowance ,FALSE,"7,642","66,350,946"
Government of Canada,Employment & Social Development,Service Canada,Apprenticeship Grants,FALSE,,
Government of Canada,Finance,Canada Revenue Agency,Canada Child Benefit,TRUE,442610,2689324000
Government of Canada,Employment & Social Development,Employment & Social Development,Canada Education Savings,FALSE,481366,1817020000
Government of Canada,Employment & Social Development,Service Canada,Canada Pension Plan,TRUE,"1,069,133","8,173,081.00"
Government of Canada,Employment & Social Development,StudentAid BC,Canada Student Grants,FALSE,,
Government of Canada,Employment & Social Development,StudentAid BC,Canada Student Loans,FALSE,,
Government of Canada,Finance,Canada Revenue Agency,Canada Training Credit,FALSE,,
Government of Canada,Finance,Canada Revenue Agency,Canada Worker's Benefit ,TRUE,,306097874.9
Government of Canada,Employment & Social Development,Service Canada,Victims of Crime,FALSE,,
Government of Canada,Veterans Affairs,Veterans Affairs,Disability Benefits,FALSE,,
Government of Canada,Veterans Affairs,Veterans Affairs,Income Replacement,FALSE,,
Government of Canada,Veterans Affairs,Veterans Affairs,Income Support,FALSE,,
Government of Canada,Finance,Canada Revenue Agency,Child Disability Benefit,FALSE,,
Government of Canada,Employment & Social Development,Employment & Social Development,Disability Savings,FALSE,,
Government of Canada,Finance,Canada Revenue Agency,Disability Tax Credit,TRUE,,68175500.8
Government of Canada,Veterans Affairs,Veterans Affairs,Education & Training,FALSE,,
Government of Canada,Employment & Social Development,Service Canada,Employment Insurance,TRUE,70780,
Government of Canada,Finance,Canada Revenue Agency,Excise Gasoline Refund,FALSE,,
