Level of Government,Responsible Ministry:,Administered By:,Program,Show Name,Number of Recipients (BC only),$ amount of benefits (BC only)
Government of Canada,National Defence,Royal Military College,ALOY,FALSE,,
Government of Canada,Employment & Social Development,Service Canada,Allowance ,FALSE,"7,642","66,350,946"
Government of Canada,Employment & Social Development,Service Canada,Apprenticeship Grants,FALSE,,
Government of Canada,Finance,Canada Revenue Agency,Basic Income Exemption,FALSE,,
Government of Canada,Finance,Canada Revenue Agency,Canada Child Benefit,TRUE,442610,442610
Government of Canada,Employment & Social Development,Employment & Social Development,Canada Education Savings,FALSE,,
Government of Canada,Employment & Social Development,Service Canada,Canada Pension Plan,TRUE,,
Government of Canada,Employment & Social Development,StudentAid BC,Canada Student Grants,FALSE,,
Government of Canada,Employment & Social Development,StudentAid BC,Canada Student Loans,FALSE,,
Government of Canada,Finance,Canada Revenue Agency,Canada Training Credit,FALSE,,
Government of Canada,Finance,Canada Revenue Agency,Canada Worker's Benefit ,TRUE,,
Government of Canada,Employment & Social Development,Service Canada,Victims of Crime,FALSE,,
Government of Canada,Veterans Affairs,Veterans Affairs,Disability Benefits,FALSE,177900,177900
Government of Canada,Veterans Affairs,Veterans Affairs,Income Replacement,FALSE,17800,17800
Government of Canada,Veterans Affairs,Veterans Affairs,Income Support,FALSE,100,100
Government of Canada,Finance,Canada Revenue Agency,Child Disability Benefit,FALSE,,
Government of Canada,Employment & Social Development,Employment & Social Development,Disability Savings,FALSE,,
Government of Canada,Finance,Canada Revenue Agency,Disability Tax Credit,TRUE,,
Government of Canada,Veterans Affairs,Veterans Affairs,Education & Training,FALSE,,
Government of Canada,Employment & Social Development,Service Canada,Employment Insurance,TRUE,,
Government of Canada,Finance,Canada Revenue Agency,Excise Gasoline Refund,FALSE,,
Government of Canada,"Immigration, Refugees,  Citizenship","Immigration, Refugees, & Citizenship",Newcomers Internship,FALSE,,
Government of Canada,Indigenous Services,Indigenous Services,PSSSP,FALSE,,
Government of Canada,Employment & Social Development,Canada Mortgage & Housing Corporation,FTHBI,FALSE,,
Government of Canada,Finance,Canada Revenue Agency,GST/HST Credit,TRUE,1401770,1401770
Government of Canada,Employment & Social Development,Canada Revenue Agency,New Housing Rebate,FALSE,,
Government of Canada,Employment & Social Development,Service Canada,GIS,TRUE,268909,268909
Government of Canada,Employment & Social Development,Canada Revenue Agency,Home Buyer's Plan,FALSE,,
Government of Canada,Employment & Social Development,Canada Mortgage & Housing Corporation,HIIFNIY,FALSE,,
Government of Canada,Employment & Social Development,Canada Mortgage & Housing Corporation,Housing Supply,FALSE,,
Government of Canada,"Immigration, Refugees,  Citizenship","Immigration, Refugees, & Citizenship",Immigation Loans,FALSE,,
Government of Canada,Health,First Nations Health Authority,IRS RHSP,FALSE,,
Government of Canada,"Immigration, Refugees,  Citizenship","Immigration, Refugees, & Citizenship",LINC,FALSE,,
Government of Canada,Finance,Canada Revenue Agency,Medical Expense Credit,FALSE,,
Government of Canada,Health,First Nations Health Authority,NIHB,FALSE,,
Government of Canada,Employment & Social Development,Service Canada,OAS,TRUE,866474,866474
Government of Canada,"Immigration, Refugees,  Citizenship","Immigration, Refugees, & Citizenship",Resettlement Assistance,FALSE,,
Government of Canada,Employment & Social Development,Employment & Social Development,Skills Link,FALSE,,
Government of Canada,Veterans Affairs,Veterans Affairs,Incapacity Allowance,FALSE,14000,14000
Government of Canada,Veterans Affairs,Veterans Affairs,Attendance Allowance,FALSE,,
Government of Canada,Veterans Affairs,Veterans Affairs,Detention Benefit,FALSE,,
Government of Canada,Veterans Affairs,Veterans Affairs,Veteran Program,FALSE,85100,85100
Government of Canada,Veterans Affairs,Veterans Affairs,Veteran Program for Survivors,FALSE,85100,85100
Government of Canada,Veterans Affairs,Veterans Affairs,Clothing Allowance,FALSE,,
Government of Canada,Veterans Affairs,Veterans Affairs,War Vet Funeral & Burial Assistance,FALSE,,
Government of Canada,Veterans Affairs,Veterans Affairs,War Vet Prisoner of War Compensation,FALSE,,
Government of Canada,Veterans Affairs,Veterans Affairs,War Vet Allowance,FALSE,1710,1710
Government of Canada,Veterans Affairs,Veterans Affairs,War Vet Death Benefit,FALSE,,
Government of Canada,Western Economic Diversification,Western Economic Diversification,Western Business Services Network,FALSE,,
Government of Canada,Employment & Social Development,Employment & Social Development,Work Placements,FALSE,,
Government of Canada,Employment & Social Development,WorkSafeBC,Workers Comp. (federal employees),FALSE,,
Government of Canada,Employment & Social Development,Financial Service provider,RDSP ,FALSE,,
Government of Canada,Employment & Social Development,Financial Service provider,RESP,FALSE,,
Government of Canada,Finance,Financial Service provider,RRSP,FALSE,,
Government of Canada,Finance,Financial Service provider,TFSA,FALSE,,
Municipal ,Municipal ,Municipality,Rec. Fee Assistance,FALSE,,
Government of British Columbia,NGO,NGO,YVR Rent Bank,FALSE,,
Government of British Columbia,"Advanced Education, Skills & Training","Advanced Education, Skills & Training",ACBTP,FALSE,,
Government of British Columbia,"Advanced Education, Skills & Training",Post-secondary,AEAF,FALSE,,
Government of British Columbia,Children & Family Development,Children & Family Development,ACCB,TRUE,33566,33566
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Affordable Rental Housing,TRUE,42190,42190
Government of British Columbia,Children & Family Development,Children & Family Development,AYA,FALSE,301,301
Government of British Columbia,Finance,Canada Revenue Agency,Basic Income Exemption,FALSE,,
Government of British Columbia,"Advanced Education, Skills & Training",StudentAid BC,Access Grant,FALSE,,
