Level of Government,Responsible Ministry:,Administered By:,Program,Child,Show Name,Number of Recipients (BC only),$ amount of benefits (BC only)
Government of British Columbia,"Advanced Education, Skills & Training","Advanced Education, Skills & Training",ACBTP,,FALSE,,
Government of British Columbia,"Advanced Education, Skills & Training",Douglas College,Career Paths,,FALSE,,
Government of British Columbia,"Advanced Education, Skills & Training",Post-secondary,AEAF,,FALSE,,
Government of British Columbia,"Advanced Education, Skills & Training",Service provider,Adult Literacy,,FALSE,4151,4151
Government of British Columbia,"Advanced Education, Skills & Training",StudentAid BC,Access Grant,,FALSE,,
Government of British Columbia,"Advanced Education, Skills & Training",StudentAid BC,StudentAid,,TRUE,,
Government of British Columbia,"Advanced Education, Skills & Training",StudentAid BC,Tuition Waiver,,FALSE,806,806
Government of British Columbia,"Advanced Education, Skills & Training",StudentAid BC,YEAF,,FALSE,,
Government of British Columbia,"Advanced Education, Skills & Training",WorkBC,ISTDF,,FALSE,,
Government of British Columbia,"Advanced Education, Skills & Training",WorkBC,Senior LMP,,FALSE,,
Government of British Columbia,"Advanced Education, Skills & Training",WorkBC,WDA,Employer Training Grant,FALSE,11671,19500000
Government of British Columbia,"Advanced Education, Skills & Training",WorkBC,WDA,Community Workforce Response,FALSE,413,5000000
Government of British Columbia,"Advanced Education, Skills & Training",WorkBC,WDA,Skills Training for Employment,TRUE,5605,56000000
Government of British Columbia,Attorney General,Service provider,Legal Aid,,FALSE,,
Government of British Columbia,Children & Family Development,Children & Family Development,ACCB,,TRUE,33566,33566
Government of British Columbia,Children & Family Development,Children & Family Development,AYA,,FALSE,301,301
Government of British Columbia,Children & Family Development,Children & Family Development,CCFRI,,FALSE,56210,97100000
Government of British Columbia,Children & Family Development,Children & Family Development,CCOF,,FALSE,115918,118800000
Government of British Columbia,Education,Education,Education Savings Grant,,FALSE,,
Government of British Columbia,Education,Service provider,CommunityLink & VSS,,FALSE,,
Government of British Columbia,"Energy, Mines, & Petroleum Resources",BC Hydro,Crisis Fund,,TRUE,2282,2282
Government of British Columbia,"Energy, Mines, & Petroleum Resources",BC Hydro,ECAP,,FALSE,,
Government of British Columbia,Finance,Canada Revenue Agency,Basic Income Exemption,,FALSE,,
Government of British Columbia,Finance,Canada Revenue Agency,Child Opportunity,,TRUE,,
Government of British Columbia,Finance,Canada Revenue Agency,Climate Action Credit,,TRUE,,
Government of British Columbia,Finance,Canada Revenue Agency,Home Renovation,,FALSE,,
Government of British Columbia,Finance,Canada Revenue Agency,Sales Tax Credit,,TRUE,,
Government of British Columbia,Finance,Canada Revenue Agency,Tax Reduction Credit,,TRUE,,
Government of British Columbia,Finance,Finance,Fuel Tax Refund PWD,,FALSE,,
Government of British Columbia,Finance,Finance,PTD,PTD: Families ,FALSE,,
Government of British Columbia,Finance,Finance,PTD,PTD: regular,TRUE,54431,"218,824,963"
Government of British Columbia,Finance,Municipality,HOG,HOG: general,TRUE,896000,437150000
Government of British Columbia,Finance,Municipality,HOG,HOG: senior,TRUE,414000,373415000
Government of British Columbia,Finance,Municipality,HOG,HOG: disability,TRUE,8500,6265000
Government of British Columbia,Finance,Municipality,HOG,HOG: veteran,TRUE,30,21000
Government of British Columbia,Finance,Municipality,HOG,HOG: low-income,FALSE,600,379000
Government of British Columbia,Finance,Municipality,HOG,HOG: low income veteran,FALSE,10,2700
Government of British Columbia,Health,BC Pharmacare,Fair Pharmacare,Plan C,TRUE,,
Government of British Columbia,Health,BC Pharmacare,Fair Pharmacare,General,TRUE,,
Government of British Columbia,Health,BC Pharmacare,Fair Pharmacare,Plan B,FALSE,,
Government of British Columbia,Health,BC Pharmacare,Fair Pharmacare,Plan D,FALSE,,
Government of British Columbia,Health,BC Pharmacare,Fair Pharmacare,Plan F,FALSE,,
Government of British Columbia,Health,BC Pharmacare,Fair Pharmacare,Plan G,FALSE,,
Government of British Columbia,Health,BC Pharmacare,Fair Pharmacare,Plan P,FALSE,,
Government of British Columbia,Health,BC Pharmacare,Fair Pharmacare,Plan W,FALSE,,
Government of British Columbia,Health,Farmer's Market,Nutrition Program,,FALSE,,
Government of British Columbia,Health,Health Insurance BC,MSP,MSP: health services,TRUE,,
Government of British Columbia,Health,Health Insurance BC,MSP,Supplementary Health Care ,FALSE,,
Government of British Columbia,Labour,Labour,Minimum Wage,,FALSE,,
Government of British Columbia,Labour,WorkSafeBC,Health Care Benefits,,FALSE,52422,52422
Government of British Columbia,Labour,WorkSafeBC,Perm Disability Benefit,,TRUE,5461,5461
Government of British Columbia,Labour,WorkSafeBC,Wage Loss Benefits,,TRUE,48771,48771
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Affordable Rental Housing,,TRUE,42190,42190
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Home Adaptions,,FALSE,650,650
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Homeless Rent Supp.,,FALSE,3832,3832
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Independent Living ,Independent Living: disability,FALSE,6101,39619000
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Independent Living ,Independent Living: senior,FALSE,4094,26287000
Government of British Columbia,Municipal Affairs & Housing,BC Housing,RAP,,TRUE,10861,10861
Government of British Columbia,Municipal Affairs & Housing,BC Housing,SAFER,,TRUE,25363,25363
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Seniors' Supportive Housing,,FALSE,6452,6452
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Shelters,,TRUE,5142,5142
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Subsidized Rental,,TRUE,276,276
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Supportive Housing,,FALSE,11621,11621
Government of British Columbia,Municipal Affairs & Housing,BC Housing,Transition Houses,,FALSE,863,863
Government of British Columbia,NGO,NGO,YVR Rent Bank,,FALSE,,
Government of British Columbia,Public Safety & Solicitor General,VictimLinkBC,CVAP,,FALSE,,
Government of British Columbia,Public Safety & Solicitor General,VictimLinkBC,Victim Travel Fund,,FALSE,,
Government of British Columbia,Social Development & Poverty Reduction,Canada Revenue Agency,Seniors Supplement,,FALSE,56021,56021
Government of British Columbia,Social Development & Poverty Reduction,Pacific Blue Cross,Health Supp.,Alternative Hearing Assistance,FALSE,15,5400
Government of British Columbia,Social Development & Poverty Reduction,Pacific Blue Cross,Health Supp.,Basic Dental,FALSE,,
Government of British Columbia,Social Development & Poverty Reduction,Pacific Blue Cross,Health Supp.,Dental: Crown & bridge,FALSE,,
Government of British Columbia,Social Development & Poverty Reduction,Pacific Blue Cross,Health Supp.,Emergency Dental Services & Denture ,FALSE,,
Government of British Columbia,Social Development & Poverty Reduction,Pacific Blue Cross,Health Supp.,Medical Equipment- Hearing Instruments,FALSE,2991,$31.3M
Government of British Columbia,Social Development & Poverty Reduction,Pacific Blue Cross,Health Supp.,Optical Services,FALSE,31347,$4.9M
Government of British Columbia,Social Development & Poverty Reduction,Pacific Blue Cross,Health Supp.,Dental: Orthodontic ,FALSE,,
Government of British Columbia,Social Development & Poverty Reduction,Pacific Blue Cross,Healthy Kids,,TRUE,144484,144484
Government of British Columbia,Social Development & Poverty Reduction,SDPR: Health Assistance,Health Supp.,Extended Medical Therapies,FALSE,99,
Government of British Columbia,Social Development & Poverty Reduction,SDPR: Health Assistance,Health Supp.,Medical Equipment - Orthoses,FALSE,3069,$31.3M
