Full Program Name,Program,Program Type/Target,Level of Government,Cash to In-Kind Spectrum,Child,Child Full Name,Number of Recipients (2017/2018),Expenditures (2017/2018),Number of Recipients (2018/2019),Expenditures (2018/2019),Notes,Description,Eligibility
General Supplements,General Supp.,Children and Family,Government of B.C.,Refundable tax credit,Auto. Child Ben. Top-up,Automatic Child Benefits Top-Up Supplement,"26,722 issued over 5,665 cases",$5.22M,,,,"Provided in specific circumstances when families are receiving a less than $203.33/month for 1 child, $179/month for the second child, and $170.25/month for each additional child. Designed to support BCEA families with dependent children when a family unit’s CCB payment is less than the child benefits top-up supplement",Dependent child(ren)
General Supplements,General Supp.,Financial Supports: Non-Work,Government of B.C.,Cash Geared to Cost,Community Volunteer Supp.,Community Volunteer Supplement,"2,944 cases",$3.3M,,,Currently only being paid to grandfathered clients,Provided to eligible persons who participate in a volunteer placement with a non-profit community agency in a designated volunteer position. Up to $100/month.,Recipients of IA or DA with no employment obligations
General Supplements,General Supp.,Children and Family,Government of B.C.,Pure In-Kind OR Bill Refund,Camp Fees Supp. ,Camp Fees Supplement,785 issued,$0.2M,,,,Provided to fully or partially cover the cost of  a child's attendance at a recognized camp. Approved recipients the lesser of $200 or the actual cost of the camp.,Dependent child(ren)
General Supplements,General Supp.,Financial Supports: Non-Work,Government of B.C.,Cash Geared to Cost,Clothing Supp.,Clothing Supplement for People in Special Care Facilities,"1,076 issued over 899 cases",$0.34M,,,,Supplement for the purchase of necessary clothing when clothing is not provided by the residential care facility and no alternative resources are available. ,residing in a residential special care facility
General Supplements,General Supp.,Housing,Government of B.C.,Cash Geared to Cost,Co-op Share Supp.,Co-op Share Purchase Supplement,13 issued,$0.01M,,,,"A lump sum supplement to assist with the cost of purchasing shares in a co-operative housing corporation. Approved recipients receive the lesser of $850 or 50% of the cost of co-op membership shares. This supplement is repayable. Clients can choose immediate repayment at $10 a month, or delayed repayment.",Must be in receipt of IA or DA for at least three previous calendar months
General Supplements,General Supp.,Financial Supports: Non-Work,Government of B.C.,Cash Geared to Cost,Confirmed Job Supp.,Confirmed Job Supplement,113 issued on 98 cases,$0.2M,,,,Supplement may be provided to purchase the essential transportation and work-related items individuals need to begin a job.,IA and DArecipients with a confirmed offer of employment and where no other resources are available to cover the cost.
General Supplements,General Supp.,Financial Supports: Non-Work,Government of B.C.,Pure Cash Transfer,Crisis Supp.,Crisis Supplement,"44,015 issued on 23,405 cases",$5M,,,,"A crisis supplement may be available to recipients who face unexpected, emergency needs in the form of a one-time payment to prevent imminent danger to theirphysical health or the removal of a child. Crisis Supplements are provided for: food, clothing, shelter, essential utilities, or emergency home repairs. A crisis supplement may be provided for an emergency/disaster, when an identified local, regional, or provincial emergency or disaster occurs and the client meets basic crisis supplement requirements policy and all available resources have been exhausted. Up to: $40/month/person for food, $100/month/person for clothing, and the actual cost of the maximum shelter allowance.",
General Supplements,General Supp.,Children and Family,Government of B.C.,Pure In-Kind,Family Maintenance,Family Maintenance Services,95 referrals made,$0.285M,,,,Provided to families in receipt of assistance to obtain child support orders or agreements where there is entitlement to maintenance. FMS provides access to legal council from the Ministry of the Attorney General,
General Supplements,General Supp.,Financial Supports: Non-Work,Government of B.C.,Pure In-Kind,Funeral,Funeral Costs,"2,008 issued",$4.9M,,,,"A supplement may be provided to paynecessary funeral costsof any person who dies in B.C. Up to $1,285 for basic services and $815 for other services.",
General Supplements,General Supp.,Medical/Health,Government of B.C.,Cash Geared to Cost,Guide Dog Supp.,Guide Dog and Service Dog Supplement,"1,379 issued on 135 cases",$0.13M,,,,"Supplement is provided to assist with the monthly maintenance of a certified guide dog team, service dog team and/or aretired guide or service dog team. Approveed recipients receive $95/month.",
General Supplements,General Supp.,Financial Supports: Non-Work,Government of B.C.,Cash Geared to Cost,ID Supp.,Identification Supplement,719 issued on 619 cases,$0.01M,,,,To cover the actual cost of obtaining identification for a person in the family unit (ID is required for all members of the family unit to be eligibel for IA or DA).,Hardship recipients (HA) only.
General Supplements,General Supp.,Housing,Government of B.C.,Cash Geared to Cost,Moving & Transport Supp.,"Moving, Transportation and Living Costs","1,738 issued on 1,631 cases",$0.09M,,,,"To cover actual necessary moving, transportation, and living expenses when a recipient is required to move for specified reasons. Assistance may also be provided when a person is required to attend a child protection hearing or court hearing for family maintenance order.",
General Supplements,General Supp.,Medical/Health,Government of B.C.,Cash Geared to Cost,Natal Supp. ,Natal Supplement,"3,226 clients",$0.8M,,,,"Provided to pregnant recipients and to family units with a dependent child under the age of seven months. Supplement is intended to assist in meeting extra costs associated with prenatal and postnatal expenses. Eligible recipients must provide written confirmation of pregnancy and expected delivery date from a medical practitioner, nurse practitioner or midwife. Eligible recipients recieve up to $45/month for a single child and $90/month for multiple children.",Pregnant women or women with child under 7 months.
General Supplements,General Supp.,Housing,Government of B.C.,Cash Geared to Cost,Pre-natal Shelter Supp.,Pre-natal Shelter Supplement,"1,691 issued on 495 cases",$0.25M,,,,"To assist single, pregnant IA and DA recipients in meeting extra costs associated with securing or maintaining stable accommodation prior to the birth of their first child. Eligible recipients receive up to $195/month for a maximum of 8 months.",Pregnant women with no toher dependent children and no spouse
General Supplements,General Supp.,Children and Family,Government of B.C.,Pure Cash Transfer,School Start-up Supp.,School Start-up Supplement,"16,707 issued on 16,614 cases",$3.4M,,,,To assist with extra costs associated with schooling for a person under 19 years of age. Automatically paid every August to families with children under 19 years of age. Families with children ages 5 - 11 receive $100 and families with children 12+ recieve $175.,Dependent child(ren)
General Supplements,General Supp.,Housing,Government of B.C.,Cash Geared to Cost,Security Deposits,Security Deposits,"22,475 issued on 19,961 cases",$7.3M,,,,To assist with the cost of securing rental accommodation. This is a repayable supplement. Repayment is made by reducing monthly assistance cheques by $20. Eligible recipients receive half of the actual market rent.,
