Full Program Name,Program,Program Type/Target,Level of Government,Cash to In-Kind Spectrum,Ordering,Description,Eligbility,Conditions,ChildPrograms,Expenditures (2018/19),Number of Recipients (2018/19),Cases (July 2019),Expenditures (2017/18),Number of Eligible Children (March 2018),Base Program Funding (2018/19),Recipients (2017),Expenditures (2017),Budget (2019/20),Expenditures (2019 YTD),Recipient (2019 YTD),Recipients (2017/18),Recipients (2018),Expenditures (2018),Expenditures (2016),Recipients (2016/17)
WorkBC: The Community and Employer Partnerships Program (LMDA),CEP,"Education, Training, and Employment",Government of B.C.,Services,1,Community and Employer Partnerships foster networks of community organizations and employers across B.C. The purpose of these partnerships is to work together to address labour market issues and increase employment opportunities for unemployed British Columbians.,,,,,,,$5.4M,,,,,,,,219 partnerships,,,,
BC Employer Training Grant,Employer Training Grant,"Education, Training, and Employment",Government of B.C.,Services,2,Grant to employers to hire and train employees,,,,,,,$19.5M,,,,,,,,"11,671",,,,
Community Workforce Response Grant ,Community Workforce Grant ,"Education, Training, and Employment",Government of B.C.,Services,3,Provides up to $10M a year to communities and industries to support in-demand skills training leading to secure and sustainable employment for unemployed or underemployed British Columbians. ,,,,$5M,418,,#N/A,,,,,,,,,,,,
Aboriginal Community-Based Training Partnerships Program,ACBTP,"Education, Training, and Employment",Government of B.C.,Services,4,"Through the Aboriginal Community-Based Training Partnerships (ACBTP) program, the Ministry funds partnerships between public Post-Secondary institutions (PSIs) and Indigenous communities to deliver education and training programs within communities",First nations or Aboriginal or Inuit,,,,,,,,,,,,,,,,,,
Sector Labour Market Partnership Program,Labour Market Partnership,"Education, Training, and Employment",Government of B.C.,Services,5,"Assists industry and employers understand and respond to changing labour market demands. The Program provides funding for partnership-led projects that address broader sector and regional labour market issues within B.C.'s diverse economy; five types of projects funded - engagement and planning, research, strategy development, strategy implementation, and evaluation  ",,,,,,,,,,,,,,,,,,,
Indigenous Skills Training Development Fund,ISTDF,"Education, Training, and Employment",Government of B.C.,Services,6,The ISTDF supports Indigenous community members (on and off reserve) in British Columbia's North and Lower Mainland to acquire the skills needed to respond to emerging resource-based opportunities,First nations or Aboriginal or Inuit,,,,,,,,,,,,,,,,,,
Affordable Child Care Benefit,ACCB,Children and Family,Government of B.C.,Pure In-Kind,7,"The ACCB helps families with the cost of child care, depending on factors like family size, type of care and household income. In most cases, the child's caregivers pay the reduced child care fee, and the child care provider receives the payment.","Dependent child requiring childcare because recipient is: searching for work, attending school, is employed, or has a medical condition that interferes with their ability to care for their child.",Income-tested,,,,,,,,,,$234.4M,,"33,566 families",,,,,
Childcare Fee Reduction Initiative,CCFRI,Children and Family,Government of B.C.,Pure In-Kind,8,The purpose of the CCFRI is to help enhance childcare affordability through parent fee reduction funding and stabilized childcare fees.  Parents do not need to apply for the fee reduction. Child care providers need to apply in order to receive funding. Participation in CCFRI is voluntary.,Licensed child care facility receiving CCOF.,,,$105.2M,,,,,,,,$97.1M,,"56,210",,,,,
Family Maintenance Services,Family Maintenance,Children and Family,Government of B.C.,Pure In-Kind,9,Provided to families in receipt of assistance to obtain child support orders or agreements where there is entitlement to maintenance. FMS provides access to legal council from the Ministry of the Attorney General,IA/DA recipient with dependent child(ren),,,,,,$0.285M,,,,,,,,95 referrals made,,,,
Nutritional Supplement: infant formula,Infant Formula Supp. ,Children and Family,Government of B.C.,Pure In-Kind,10,Regular infant formula may be provided to children during the first 12 months when there is a medically confirmed risk of disease transmittal from the mother's breast milk; and specialized infant formula may be provided to children who have a confirmed medical condition that requires the specialized formula,IA/DA/HA recipients only. Need nust be confirmed  by a medical practitioner or nurse practitioner,,,,,,reported under Medical Supplies,,,,,,,,29 clients,,,,
