Full Program Name,Program,Application Method,Age,Program Type/Target,Level of Government,Administrator,Order
Sector Labour Market Partnership Program,Labour Market Partnership,Third Party,Working-Age,"Education, Training, and Employment",Government of B.C.,WorkBC,1
WorkBC: The Community and Employer Partnerships Program (LMDA),CEP,Third Party,Working-Age,"Education, Training, and Employment",Government of B.C.,WorkBC,2
BC Employer Training Grant,Employer Training Grant,Third Party,Working-Age,"Education, Training, and Employment",Government of B.C.,WorkBC,3
Community Workforce Response Grant ,Community Workforce Grant ,Third Party,Working-Age,"Education, Training, and Employment",Government of B.C.,WorkBC,4
Aboriginal Community-Based Training Partnerships Program,ACBTP,Third Party,Working-Age,"Education, Training, and Employment",Government of B.C.,"Ministry of Advanced Education, Skills & Training",5
Indigenous Skills Training Development Fund,ISTDF,Third Party,Working-Age,"Education, Training, and Employment",Government of B.C.,WorkBC,6
Childcare Fee Reduction Initiative,CCFRI,Third Party,Working-Age,Children and Family,Government of B.C.,Ministry of Children and Family Development,7
CommunityLink Funding and Vulnerable Student Supplement,CommunityLink & VSS,Third Party,Working-Age,Financial Supports: Non-Work,Government of B.C.,Service provider,8
Child Care Operating Funding ,CCOF,Third Party,Working-Age,Children and Family,Government of B.C.,Ministry of Children and Family Development,9
Basic Personal Tax Credit,Basic Person. Tax Cred.,Tax filing ,Working-Age,Financial Supports: Non-Work,Government of B.C.,Canada Revenue Agency,10
BC Tax Reduction Credit,Tax Reduction Cred.,Tax filing ,Working-Age,Financial Supports: Non-Work,Government of B.C.,Canada Revenue Agency,11
BC Climate Action Tax Credit,CATC,Tax filing,Working-Age,Financial Supports: Non-Work,Government of B.C.,Canada Revenue Agency,12
BC Sales Tax Credit,Sales Tax Cred.,Tax filing ,Working-Age,Financial Supports: Non-Work,Government of B.C.,Canada Revenue Agency,13
BC Home Renovation Tax Credit,Home Renovation,Tax filing ,Working-Age,Housing,Government of B.C.,Canada Revenue Agency,14
Temporary Child Benefits Top-Up Supplement,Temp. Child Ben. Top-up,Tax filing ,Working-Age,Children and Family,Government of B.C.,Ministry of Social Development and Poverty Reduction ,15
BC Child Opportunity Benefit,Child Opportunity,Automatic with tax filing,Working-Age,Children and Family,Government of B.C.,Canada Revenue Agency,16
Homeless Shelters ,Shelters,Automatic,Working-Age,Housing,Government of B.C.,BC Housing,17
Women's Transition Housing and Supports,Transition Houses,Automatic,Working-Age,Housing,Government of B.C.,BC Housing,18
BC access grant for students with permanent disabilities,Access Grant,Automatic with Other Self Initiated Application,Working-Age,"Education, Training, and Employment",Government of B.C.,StudentAid BC,19
Transportation Supplement  ,Transport Supp.,Automatic with Other Self Initiated Application,Working-Age,Financial Supports: Non-Work,Government of B.C.,Ministry of Social Development and Poverty Reduction ,20
Dental: Crown and bridge work,Dental: crown and bridge,Automatic with Other Self Initiated Application,Working-Age,Medical/Health,Government of B.C.,Pacific Blue Cross,21
Dental: Orthodontic Services,Dental: Orthodontic,Automatic with Other Self Initiated Application,Working-Age,Medical/Health,Government of B.C.,Pacific Blue Cross,22
Emergency Dental Services & Denture Services,Emergency Dental,Automatic with Other Self Initiated Application,Working-Age,Medical/Health,Government of B.C.,Pacific Blue Cross,23
Extended Medical Therapies,Extended Medical,Automatic with Other Self Initiated Application,Working-Age,Medical/Health,Government of B.C.,SDPR: Health Assistance,24
Medical Equipment - Orthoses,Med. Equip. - Orthoses,Automatic with Other Self Initiated Application,Working-Age,Medical/Health,Government of B.C.,SDPR: Health Assistance,25
