Level of Government Full,Level of Government,Responsible Ministry Full,Responsible Ministry,Administered By Full,Administered By,Full Program Name,Program,Show Name,Description,Eligbility,Conditions,ChildPrograms,Expenditures (2018/19),Number of Recipients (2018/19),Cases (July 2019),Expenditures (2017/18),Number of Eligible Children (March 2018),Base Program Funding (2018/19),Recipients (2017),Expenditures (2017),Budget (2019/20),Expenditures (2019 YTD),Recipient (2019 YTD),Recipients (2017/18),Recipients (2018),Expenditures (2018),Expenditures (2016),Recipients (2016/17),Total Expenditures,,colour3
Provincial,Government of British Columbia,Ministry of Social Development and Poverty Reduction ,Social Development & Poverty Reduction,Ministry of Social Development and Poverty Reduction ,Social Development & Poverty Reduction,Disability Assistance,Disability Assistance,TRUE,"The BC Employment and Assistance Program for Persons with Disabilities provides disability assistance and supplements to provide greater independence for people with disabilities, including security of income, enhanced well-being, and participation in the community",Persons with disabilities and Low Income,Means-tested,,"Total: $2,417M. Breakdown: <ul style=""margin-top: -10px;""><li>$1,416M in Entitlements</li><li>$1,001M to CommunityLiving</li><li>Admin. and appeal are under IA</li></ul>",,"190,227",,,,,,"$1,500M in Entitlements + 1,065M to CommunityLiving",,,,,,,,1416000000,12,"""#8B4513"""
Provincial,Government of British Columbia,Ministry of Social Development and Poverty Reduction ,Social Development & Poverty Reduction,Ministry of Social Development and Poverty Reduction ,Social Development & Poverty Reduction,Temporary Assistance,Temporary Assistance,TRUE,The BC Employment and Assistance (BCEA) program is an income and asset tested program that provides monthly income assistance and employment supports to people in need who have no other resources. The program is intended to help move people from income assistance to sustainable employment and to provide income assistance to those who are unable to fully participate in the workforce.,"Low Income, low assets",Means-tested," <h6>Other Eligibility Requirements by Program:</h6><ol style=""margin-top: -10px;""> <li>Expected-to-Work: 3 week work search</li> <li>Not Expected to Work: single parent with child under 3 or child with medical condition, or persons fleeing abuse,  or cannot legally work in Canada, or persons facing a direct and life-threatening health need or in a continuing care facility;</li> <li>Persons with Persistent and Multiple Barriers to Work: health condition that impedes employment (including an addiction) + an additional barrier to employment such as homelessness, fleeing abuse, former child in care, or criminal record ;</li> <li> Medical Condition: short-term medical condition</li> </ol>",Total: $551.5M <br/>Breakdown: <ul><li>$391M in Entitlements</li> <li>$146M for Management</li><li>$1.8M to Appeal Tribunal</li><li>$12.7M for Executive Services</li></ul>,,"44,059",,,,,,$425M in Entitlements + $156M in Management + $1.8M to Appeal Tribunal + $12.9M for Executive Services,,,,,,,,551500000,12,"""#8B4513"""
Provincial,Government of British Columbia,Ministry of Social Development and Poverty Reduction ,Social Development & Poverty Reduction,Ministry of Social Development and Poverty Reduction ,Social Development & Poverty Reduction,Hardship Assistance,Hardship Assistance,TRUE,"Hardship assistance is intended to meet the essential needs of persons or families who are not eligible for Income Assistance or Disability Assistance for a number of reasons specified by regulation. Hardship assistance is not an entitlement, but may be provided at the discretion of the Minister according to legislative and regulatory criteria.  It is provided on a temporary basis for only one month at a time.  Eligibility for hardship assistance must be re-established each month.","low-income, immediate need, and not eligibile for IA or DA because: waiting for EI or other income, assets or income in excess, identity not established, SIN required, or strike/lockout.",Means-tested,,,,Included under IA,Included under IA,,,,,,,,,,,,,,12,"""#8B4513"""
Provincial,Government of British Columbia,Ministry of Social Development and Poverty Reduction ,Social Development & Poverty Reduction,Community Living BC,Community Living BC,Community Living BC,Community Living,TRUE,"CLBC is the provincial crown corporation that funds supports and services to adults with developmental disabilities, as well as individuals who have a diagnosis of Autism Spectrum Disorder (ASD) or Fetal Alcohol Spectrum Disorder and who also have significant difficulty doing things on their own. CLBC provides community support, employment support, inclusion support, residential support, behavioral support, and respite for families.","Adults with developmental disabilities, autism, or FASD who require support with daily tasks. ",,,"$1,001M",,,,,,"20,049 (Mar. 2017)",,,,,,,,,,1001000000,12,"""#8B4513"""
Provincial,Government of British Columbia,Ministry of Social Development and Poverty Reduction ,Social Development & Poverty Reduction,Canada Revenue Agency,Canada Revenue Agency,Seniors Supplement,Seniors Supplement,FALSE,The Senior's Supplement is a provincial top-up to federal OAS/GIS. The Senior's Supplement ensures a conditionally guaranteed minimum income level for residents of BC and is paid to low-income residents of BC who are 65 years of age and older and who are receiving OAS/GIS or the federal Allowance.,Low-income seniors 65 years+ receiving OAS/GIS or the Allowance,Income-tested,,,"56,021",,$25.7M,,,,,,,,,,,,,25700000,12,"""#8B4513"""
Provincial,Government of British Columbia,Ministry of Social Development and Poverty Reduction ,Social Development & Poverty Reduction,Ministry of Social Development and Poverty Reduction ,Social Development & Poverty Reduction,General Supplements,General Supplements,TRUE,Includes 22 different programs available through the BC Employment and Assistance program (BCEA) to assist with specified needs and circumstances. Eligibility for supplements is generally determined through consultation with Ministry staff (See Supplement chart for more details).,"Recipients of IA, DA, and/or HA + must meet specific supplement eligibility criteria",,"<h6>General Supplements:</h6><ol style=""margin-top: -10px;""> <li> Automatic Child Benefit Top-up</li><li> Community Volunteer (only if grandfathered)</li><li>Camp Fees</li><li>Christmas Supp.</li><li>Clothing Supp.</li><li>Co-op Share Purchase Supp.</li><li>Confirmed Job Supp.</li><li>Crisis Supp.</li><li>Family Maintenance Supp.</li><li>Funeral Costs</li><li>Guide/Service Dog Supp.</li><li>ID Supp.</li><li>Moving, Transport, & Living Costs</li><li>Natal Supp.</li><li>Pre-Natal Shelter Supp.</li><li>School Start-Up Supp.</li><li>Security Deposit</li><li>Temporary Child Benefit Top-up</li><li>Transport Supp. (Only DA)</li><li>Transport to Alcohol & Drug Facilities</li><li>Travel Supp.</li><li>Utility Security Deposit</li></ol>",$365M for General + Health Supplements provided through SDPR (and not through BC Health or PBC),,,,,,,,$380M for General + Health Supplements provided through SDPR (and not through BC Health or PBC),,,,,,,,365000000,12,"""#8B4513"""
Provincial,Government of British Columbia,Ministry of Social Development and Poverty Reduction ,Social Development & Poverty Reduction,Ministry of Social Development and Poverty Reduction ,Social Development & Poverty Reduction,Health Supplements,Health Supplements,TRUE,Includes 18 programs available through the BC Employment and Assistance program to assist with specific health needs and circumstances.,"Recipients of IA, DA, and/or HA, OR persons eligible for Healthy Kids, Medical Services Only, Life Threatening Health Need, or Transitional Health Services.",,"<h6>Health Supplements:</h6><ol style=""margin-top: -10px;""> <li>Supp. for Alcohol & Drug Treatment</li><li>Alterantive Hearing Supp.</li><li>Basic Dental</li><li>Dental: Crown & Bridge</li><li>Dental: Orthodontic</li><li>Emergency Dental</li><li>Diet Supp.</li><li>Extended Medical</li><li>Infant Formula Supp.</li><li>Med. Equipment: Hearing</li><li>Med. Equipment: Orthoses</li><li>Med. Equipment & Devices (i.e. wheelchairs)</li><li>Med. Supplied</li><li>Med. Transport</li><li>Nutrition Supp.</li><li>Optical</li><li>Short-term Nutrition Supp.</li><li>Tube Feed Supp.</li></ol>",$365M for General + Health Supplements provided through SDPR (and not through BC Health or PBC),,,,,,,,$380M for General + Health Supplements provided through SDPR (and not through BC Health or PBC),,,,,,,,,12,"""#8B4513"""
Provincial,Government of British Columbia,Ministry of Social Development and Poverty Reduction ,Social Development & Poverty Reduction,Ministry of Social Development and Poverty Reduction ,Social Development & Poverty Reduction,Medical Services Only,MSO,TRUE,"Provides continued access to specific health supplements to certain categories of former recipients of DA.
One of the major goals of MSO is to assist persons with the Persons with Disabilities designation to obtain and maintain employment by allowing them to retain their premium-assisted Medical Services Plan coverage as well as other health supplements as they move from disability assistance into financial independence.","Former recipients of DA, or former recipients of IA with a PPMB designation, who either have employment income that disqualifies them from DA/IA or federal transfers (OAS/GIS, CPP) that disqualifies them from DA/IA",Income-tested,,,,,Included in Health Supp. Expenditures,,,,,,,,"35,553 (Dec. 2018)",,,,,,12,"""#8B4513"""
Provincial,Government of British Columbia,Ministry of Social Development and Poverty Reduction ,Social Development & Poverty Reduction,Ministry of Social Development and Poverty Reduction ,Social Development & Poverty Reduction,Life Threatening Health Need,Life Threatening,TRUE,"Access to medical equipment, medical supplies, or medical transportation to persons who are not otherwise eligible but who face a direct and imminent life-threatening health need and have no other resources to meet that need.","B.C. residents not eligible for IA, DA, or HA, but is eligible for MSP Premium Assistance, and has a direct and imminent life-threatening health need and no other resources to meet that need.",Means-tested,,,,,Included in Health Supp. Expenditures,,,,,,,,104 (Dec. 2018),,,,,,12,"""#8B4513"""
Provincial,Government of British Columbia,Ministry of Social Development and Poverty Reduction ,Social Development & Poverty Reduction,Ministry of Social Development and Poverty Reduction ,Social Development & Poverty Reduction,Transitional Health Services,THS,TRUE,Provides continued access to certain health supplements for up to one year to families with children who leave IA for employment. The intent of THS is to assist families with children to obtain and maintain employment by allowing them to retain their premium-assisted MSP coverage as well as other health supplements while they move from income assistance into financial independence.,"A member of a family unit that ceased to be eligible for IA as a result of employment income, and has a dependent child.",Income-tested,,,,,Included in Health Supp. Expenditures,,,,,,,,575 cases (Dec. 2018),,,,,,12,"""#8B4513"""
