Full Program Name,Program,Age,Program Type/Target,Level of Government,Application Method,Ordering,Description,Eligbility,Conditions,ChildPrograms,Expenditures (2018/19),Number of Recipients (2018/19),Cases (July 2019),Expenditures (2017/18),Number of Eligible Children (March 2018),Base Program Funding (2018/19),Recipients (2017),Expenditures (2017),Budget (2019/20),Expenditures (2019 YTD),Recipient (2019 YTD),Recipients (2017/18),Recipients (2018),Expenditures (2018),Expenditures (2016),Recipients (2016/17),ExpendituresTotal
Aboriginal Community-Based Training Partnerships Program,ACBTP,Working-Age,"Education, Training, and Employment",Government of British Columbia,Third Party,1,"Through the Aboriginal Community-Based Training Partnerships (ACBTP) program, the Ministry funds partnerships between public Post-Secondary institutions (PSIs) and Indigenous communities to deliver education and training programs within communities",First nations or Aboriginal or Inuit,,,,,,,,,,,,,,,,,,,0
BC Employer Training Grant,Employer Training Grant,Working-Age,"Education, Training, and Employment",Government of British Columbia,Third Party,2,Grant to employers to hire and train employees,,,,,,,$19.5M,,,,,,,,"11,671",,,,,19500000
Child Care Operating Funding ,CCOF,Working-Age,Children and Family,Government of British Columbia,Third Party,3,Assists with the day-to-day costs of running a licensed child care facility. Applied for by the child care provider and paid directly to the child care provider.,Licensed child care facility.,,,$103.4M,,,,,,,,$118.9M,,"115,918",,,,,,118900000
Childcare Fee Reduction Initiative,CCFRI,Working-Age,Children and Family,Government of British Columbia,Third Party,4,The purpose of the CCFRI is to help enhance childcare affordability through parent fee reduction funding and stabilized childcare fees.  Parents do not need to apply for the fee reduction. Child care providers need to apply in order to receive funding. Participation in CCFRI is voluntary.,Licensed child care facility receiving CCOF.,,,$105.2M,,,,,,,,$97.1M,,"56,210",,,,,,97100000
Community Workforce Response Grant ,Community Workforce Grant ,Working-Age,"Education, Training, and Employment",Government of British Columbia,Third Party,5,Provides up to $10M a year to communities and industries to support in-demand skills training leading to secure and sustainable employment for unemployed or underemployed British Columbians. ,,,,$5M,418,,,,,,,,,,,,,,,5000000
CommunityLink Funding and Vulnerable Student Supplement,CommunityLink & VSS,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Third Party,6,"CommunityLINK (Learning Includes Nutrition and Knowledge) funding is designed to support the academic achievement and social functioning of vulnerable students. Programs and services can include breakfast, lunch and snack programs, academic supports, counseling, youth workers and after-school programs.",,,,$52.8M (CommunityLINK) + $11.2M (VSS),"60 school districts, i.e. all school districts receive CommunityLink. 25 school districts receive VSS.",,,,,,,,,,,,,,,64000000
Indigenous Skills Training Development Fund,ISTDF,Working-Age,"Education, Training, and Employment",Government of British Columbia,Third Party,7,The ISTDF supports Indigenous community members (on and off reserve) in British Columbia's North and Lower Mainland to acquire the skills needed to respond to emerging resource-based opportunities,First nations or Aboriginal or Inuit,,,,,,,,,,,,,,,,,,,0
Sector Labour Market Partnership Program,Labour Market Partnership,Working-Age,"Education, Training, and Employment",Government of British Columbia,Third Party,8,"Assists industry and employers understand and respond to changing labour market demands. The Program provides funding for partnership-led projects that address broader sector and regional labour market issues within B.C.'s diverse economy; five types of projects funded - engagement and planning, research, strategy development, strategy implementation, and evaluation  ",,,,,,,,,,,,,,,,,,,,0
WorkBC: The Community and Employer Partnerships Program (LMDA),CEP,Working-Age,"Education, Training, and Employment",Government of British Columbia,Third Party,9,Community and Employer Partnerships foster networks of community organizations and employers across B.C. The purpose of these partnerships is to work together to address labour market issues and increase employment opportunities for unemployed British Columbians.,,,,,,,$5.4M,,,,,,,,219 partnerships,,,,,5400000
BC Climate Action Tax Credit,CATC,Working-Age,Financial Supports: Non-Work,Government of British Columbia,Tax filing,10,The BC climate action tax credit helps offset the impact of the carbon taxes paid by individuals or families. The amount of the credit depends upon the family size and adjusted family net income.The credit is combined with the federal goods and services tax/ harmonized sales tax (GST/HST) credit into one quarterly payment,Low Income,Income-tested,,,,,,,,,,,,,,,,$195M,,195000000
