Program Name,Level Of Government,Administering Agency,Delivery Agency,Brief Description,Major Eligibility Conditions,Other Eligibility Conditions,Show Name
Aboriginal Leadership Opportunities Year,Government of Canada,Department of National Defence,Royal Military College of Canada,"One-year program at RMC designed to provide students of Indigenous heritage with individual, group, and cultural experiences that will help build leadership and life skills.",Indigenous,"Indigenous—status, non-status, land claim. 16 years or older. Completed Grade 12, Secondary V, or the GED in the current academic year.",TRUE
Allowance for People Aged 60 to 64,Government of Canada,Employment and Social Development Canada,Service Canada,The Allowance is a benefit available to low-income individuals aged 60 to 64 who are the spouse or common-law partner of a Guaranteed Income Supplement (GIS) recipient.,Senior AND Low Income,Age 60 - 64. Low-income. Married or common-law. Partner receiving GIS. ,TRUE
Allowance for the Survivor,Government of Canada,Employment and Social Development Canada,Service Canada,"The Allowance for the Survivor is a benefit available to people aged 60 to 64 who have a low income, who are living in Canada, and whose spouse or common-law partner has died.",Senior AND Low Income,Age 60 - 64. Low-income. Widowed. ,TRUE
Apprenticeship Completion Grant (ACG),Government of Canada,Employment and Social Development Canada,Service Canada,Taxable cash grant for registered apprentices who successfully complete their program,Apprenticeship training,Completion of journeyman certification,TRUE
Apprenticeship Incentive Grant (AIG),Government of Canada,Employment and Social Development Canada,Service Canada,The Apprenticeship Incentive Grant (AIG) helps you pay for expenses while you train as an apprentice in a designated Red Seal trade.,Apprenticeship training,Enrolled in apprenticeship program,TRUE
Apprenticeship Incentive Grant for Women,Government of Canada,Employment and Social Development Canada,Service Canada,The Apprenticeship Incentive Grant for Women (AIG-W) helps you pay for expenses while you train as an apprentice in a Designated Red Seal Trade where women are underrepresented.,Apprenticeship training,Women AND Enrolled in apprenticeship program,TRUE
Basic Personal Tax Credit,Government of Canada,Ministry of Finance,Canada Revenue Agency,"The basic personal tax credit is a non-refundable tax credit every Canadian resident is entitled to claim on his or her income tax return. It is the amount of income that can be earned before paying any federal income tax multiplied by the tax rate for the lowest tax bracket. This amount changes year to year in order to keep up with inflation. It was $13,229 in 2020 tax year.",,,TRUE
Canada Child Benefit,Government of Canada,Department of Finance,Canada Revenue Agency,The Canada child benefit (CCB) is a tax free monthly payment made to eligible families to help them with the cost of raising children under 18 years of age.,Dependent child(ren),,TRUE
Canada Training Credit,Government of Canada,Department of Finance,Canada Revenue Agency,"To help Canadians with the cost of training fees. Eligible workers between the ages of 25 and 64 accumulate a credit balance at a rate of $250 per year, up to a lifetime limit of $5,000. The credit can be used to refund up to half the costs of taking a course or enrolling in a training program.",,Must be employed to earn credit. Must have tuition or couse fees to use credit.,TRUE
Canada Education Savings Grant ,Government of Canada,Employment and Social Development Canada,Employment and Social Development Canada,The Canada Education Savings Grant (CESG) is money that the Government adds to a Registered Education Savings Plan (RESP). This money helps to pay the costs of a child’s full- or part-time studies after high school ,Dependent child(ren),Dependent child(ren) and an RESP account,TRUE
